,district,metro,area,rooms,floor,gk,price,adress
145,1.19,3.0,30.5,1.0,3.0,1.0,11500.0,"Соборности просп. (Воссоединения), 17, Днепровский р-н"
146,1.19,3.0,51.0,1.0,20.0,1.0,20500.0,"Нижнеключевая ул., 14, Соломенский р-н"
147,1.12,3.0,98.0,3.0,7.0,0.0,15000.0,"Пчелки Елены ул., 2б, Дарницкий р-н"
149,2.87,1.0,60.0,2.0,3.0,0.0,24750.0,"Кловский спуск, 17, Печерский р-н"
150,1.29,3.0,29.0,1.0,2.0,0.0,7500.0,"Правды просп., 68а, Подольский р-н"
151,1.18,3.0,52.0,2.0,4.0,0.0,9500.0,"Героев Космоса ул., Святошинский р-н"
152,2.87,1.0,48.0,1.0,2.0,0.0,33000.0,"Городецкого архитектора ул., 15, Печерский р-н"
153,1.29,1.0,50.0,1.0,6.0,0.0,14000.0,"Оболонская ул., 47, Подольский р-н"
154,1.29,3.0,35.0,1.0,15.0,0.0,8000.0,"Гонгадзе Георгия просп. (Советской Украины), 1/102, Подольский р-н"
155,1.74,1.0,85.0,3.0,3.0,0.0,20000.0,"Саксаганского ул., 92, Шевченковский р-н"
156,2.87,1.0,50.0,1.0,4.0,0.0,13500.0,"Софиевская, 1, Печерский р-н"
157,1.18,3.0,39.0,1.0,15.0,0.0,9000.0,"Оксамитова, 9а, Святошинский р-н"
158,2.87,1.0,92.0,3.0,5.0,0.0,34375.0,"Городецкого архитектора ул., 10/1, Печерский р-н"
159,1.12,3.0,50.0,1.0,12.0,0.0,9000.0,"Пчелки Елены ул., 2, Дарницкий р-н"
160,2.87,1.0,223.0,5.0,5.0,0.0,55000.0,"Круглоуниверситетская ул., 7, Печерский р-н"
161,1.12,3.0,80.0,3.0,9.0,0.0,14000.0,"Чавдар Елизаветы ул., 13, Дарницкий р-н"
162,1.19,1.0,32.0,1.0,7.0,0.0,9000.0,"Челябинская ул., 19, Днепровский р-н"
163,1.19,3.0,40.0,1.0,4.0,0.0,13500.0,"Липковского Василия ул. (Урицкого), 11, Соломенский р-н"
164,1.74,1.0,28.0,1.0,4.0,0.0,7000.0,"Туполева академика ул., 5, Шевченковский р-н"
165,1.19,3.0,45.0,1.0,9.0,1.0,14000.0,"Регенераторная ул., 4к2, Днепровский р-н"
166,1.19,3.0,75.0,3.0,4.0,0.0,23000.0,"Регенераторная ул., 4к9, Днепровский р-н"
169,1.53,1.0,54.0,2.0,2.0,0.0,10500.0,"Феодосийская ул., 48/52, Голосеевский р-н"
170,1.74,1.0,45.0,1.0,5.0,0.0,9200.0,"Ярмолы Виктора ул., 6/8, Шевченковский р-н"
172,1.19,3.0,125.0,3.0,12.0,0.0,35750.0,"Тычины Павла просп., 18 Б, Днепровский р-н"
173,1.29,3.0,35.0,1.0,3.0,0.0,8500.0,"Ужвий Наталии ул., 8А, Подольский р-н"
174,1.0,3.0,74.0,3.0,13.0,0.0,9000.0,"Волкова космонавта ул., 6, Деснянский р-н"
176,1.29,3.0,46.0,1.0,19.0,1.0,12000.0,"Правды просп., 45 б, Подольский р-н"
178,1.74,1.0,34.0,1.0,1.0,0.0,7000.0,"Телиги Олены ул., 3в, Шевченковский р-н"
179,1.12,1.0,42.0,1.0,8.0,1.0,13990.0,"Малоземельная ул., 75, Дарницкий р-н"
180,1.53,1.0,56.0,2.0,8.0,0.0,16000.0,"Антоновича ул. (Горького), 91/14, Голосеевский р-н"
181,1.74,1.0,110.0,3.0,8.0,1.0,33000.0,"Глубочицкая ул., 32а, Шевченковский р-н"
182,1.12,3.0,65.0,2.0,14.0,0.0,12500.0,"Григоренко Петра просп., 14, Дарницкий р-н"
183,1.12,3.0,44.0,1.0,9.0,0.0,9500.0,"Пчелки Елены ул., 4, Дарницкий р-н"
184,2.87,1.0,120.0,3.0,12.0,1.0,54175.0,"Драгомирова ул., 3, Печерский р-н"
186,2.87,1.0,57.0,2.0,17.0,1.0,41250.0,"Лумумбы Патриса ул., 6/1, Печерский р-н"
