district,metro,area,rooms,floor,gk,price,adress
1.12,1,54.3,2,10,0,9000,"
ул. Срибнокильская, 1/2, Киев
"
1.74,1,50.0,2,4,0,14000,"
ул. Дегтяревская, 26б, Киев
"
1.19,3,95.0,2,4,0,24000,"
ул. Шумского Юрия, 1а, Киев
"
1.19,3,32.0,1,4,1,12000,"
ул. Липы Юрия, 6, Киев
"
1.74,3,89.0,2,4,0,27000,"
Кудрявский спуск, 2б, Киев
"
2.87,1,55.8,1,4,1,23500,"
Леси Украинки бульв., 7б, Киев
"
2.87,1,41.1,2,4,1,24500,"
ул. Предславинская, 55а, Киев
"
1.22,1,75.0,2,4,0,14500,"
ул. Тимошенко Маршала, 15г, Киев
"
1.12,3,68.0,2,4,0,13500,"
ул. Ахматовой, 16б, Киев
"
1.74,1,65.0,2,4,0,19000,"
Тбилисский пер., 1, Киев
"
2.87,1,48.0,2,4,0,20500,"
ул. Мечникова, 8, Киев
"
1.53,1,42.0,2,4,0,16000,"
ул. Саперно-Слободская, 8, Киев
"
1.53,3,60.0,2,4,0,16500,"
Голосеевский проспект (40-летия Октября просп.), 46/1, Киев
"
1.18,3,45.0,2,6,0,11900,"
ул. Булаховского Академика, 30а, Киев
"
2.87,3,60.0,1,4,0,49700,"
Леси Украинки бульв., Киев
"
2.87,1,32.0,1,8,0,11500,"
ул. Лескова, 6, Киев
"
1.12,3,51.0,1,23,0,10000,"
Григоренко Петра просп., 22/20, Киев
"
1.53,1,80.4,2,11,1,55300,"
ул. Саксаганского, 37к, Киев
"
1.22,1,210.0,4,2,0,44200,"
ул. Тимошенко Маршала, 29, Киев
"
1.74,3,74.0,2,4,0,17500,"
ул. Салютная, 1б, Киев
"
2.87,1,55.0,2,4,0,20700,"
ул. Круглоуниверситетская, 13, Киев
"
1.53,1,47.0,2,4,0,16000,"
ул. Антоновича (Горького), 99, Киев
"
1.53,1,100.0,2,4,0,17000,"
ул. Васильковская, 28в, Киев
"
2.87,3,56.0,2,4,1,19000,"
Дружбы Народов бульв., 14-16, Киев
"
1.12,1,110.0,2,4,1,25000,"
ул. Срибнокильская, 2а, Киев
"
1.19,1,86.0,2,4,1,22100,"
ул. Днепровская наб., 1а, Киев
"
2.87,1,51.0,1,4,1,24800,"
ул. Филатова Академика, 2/1, Киев
"
1.19,3,82.0,3,4,0,27600,"
ул. Соломенская, 20в, Киев
"
1.74,3,90.0,2,4,0,30000,"
Кудрявский спуск, 3б, Киев
"
1.19,3,55.0,1,4,0,20700,"
ул. Соломенская, 15а, Киев
"
2.87,1,72.0,3,4,1,60000,"
ул. Джона Маккейна (Кудри Ивана), 7, Киев
"
1.53,1,110.0,3,4,1,47000,"
ул. Малевича Казимира (Боженко), 89, Киев
"
2.87,1,50.0,2,4,1,22100,"
ул. Джона Маккейна (Кудри Ивана), 7, Киев
"
2.87,1,68.0,2,4,1,33000,"
ул. Коновальца Евгения (Щорса), 44а, Киев
"
1.53,1,90.0,3,4,0,47000,"
ул. Антоновича (Горького), 23, Киев
"
1.74,3,107.0,3,4,0,74000,"
ул. Большая Житомирская, 26а, Киев
"
2.87,1,51.3,1,4,1,24000,"
ул. Джона Маккейна (Кудри Ивана), 26, Киев
"
1.74,1,70.0,3,4,0,18500,"
Шевченко Тараса бульв., 38, Киев
"
2.87,1,47.0,2,4,0,16000,"
ул. Орлика Филиппа, 9, Киев
"
2.87,1,80.0,3,4,0,27500,"
ул. Грушевского Михаила, 28/2, Киев
"
2.87,1,85.0,2,4,1,41500,"
ул. Саксаганского, 37к, Киев
"
2.87,1,70.0,2,4,0,35900,"
ул. Мазепы Ивана (Январского Восстания), 3, Киев
"
1.19,3,65.0,3,4,0,21500,"
ул. Регенераторная, 4, Киев
"
2.87,1,115.0,3,4,1,63600,"
ул. Драгомирова Михаила, 9, Киев
"
1.74,1,75.0,3,4,0,41500,"
ул. Прорезная (Центр), 6, Киев
"
1.19,3,85.0,3,4,0,20000,"
ул. Регенераторная, 4, Киев
"
1.74,1,75.0,2,4,0,16600,"
ул. Гончара Олеся, 59, Киев
"
2.87,1,109.0,3,10,0,27600,"
ул. Панаса Мирного, 17, Киев
"
2.87,1,52.0,2,4,0,17000,"
Леси Украинки бульв., 24, Киев
"
1.18,1,115.0,3,4,0,20000,"
ул. Пушиной Феодоры, 50а, Киев
"
2.87,1,53.0,2,4,1,41400,"
ул. Тютюнника Василия (Барбюса Анри), 37/1, Киев
"
1.18,3,40.0,1,8,0,8000,"
ул. Обуховская, 139, Киев
"
1.29,3,51.0,2,4,0,7000,"
ул. Сырецкая, Киев
"
1.12,3,72.0,2,12,0,12000,"
Григоренко Петра просп., 33/44, Киев
"
1.53,3,60.0,2,2,0,16000,"
ул. Луценко Дмитрия, Киев
"
1.74,3,73.0,2,4,1,20000,"
ул. Глубочицкая, 13, Киев
"
1.12,3,52.0,2,4,0,11000,"
ул. Драгоманова, 9, Киев
"
1.0,1,24.0,1,4,0,5000,"
ул. Матеюка Николая, 9, Киев
"
2.87,1,47.0,1,4,1,33200,"
ул. Джона Маккейна (Кудри Ивана), 1, Киев
"
1.19,3,34.0,1,4,0,7000,"
ул. Вузовская, 3, Киев
"
1.12,1,50.0,2,4,1,24000,"
ул. Днепровская наб., 16г, Киев
"
1.19,3,60.0,1,4,1,12000,"
ул. Комбинатная, 25, Киев
"
1.12,1,59.0,1,4,1,12000,"
ул. Срибнокильская, 1, Киев
"
1.74,1,55.0,1,4,0,27000,"
Победы просп., 5в, Киев
"
1.19,3,40.0,1,4,0,12000,"
ул. Регенераторная, 4, Киев
"
1.53,1,62.0,1,4,1,44200,"
ул. Саксаганского, 37к, Киев
"
2.87,1,80.0,2,4,1,60800,"
ул. Драгомирова Михаила, 20, Киев
"
1.12,3,50.0,1,4,0,14000,"
ул. Драгоманова, 2б, Киев
"
1.19,3,50.0,1,4,1,13000,"
ул. Шумского Юрия, 3г, Киев
"
2.87,1,40.0,1,4,1,40400,"
ул. Предславинская, 55а, Киев
"
2.87,1,58.0,1,4,1,35900,"
ул. Тютюнника Василия (Барбюса Анри), 28а, Киев
"
2.87,1,90.0,2,4,0,28000,"
ул. Коновальца Евгения (Щорса), 36е, Киев
"
1.12,3,57.0,1,4,0,13000,"
ул. Пчелки Елены, 5, Киев
"
2.87,1,45.0,1,4,1,30400,"
ул. Джона Маккейна (Кудри Ивана), 1б, Киев
"
1.19,3,50.0,1,4,1,12500,"
ул. Панельная, 7, Киев
"
1.19,3,42.0,1,4,0,12000,"
ул. Регенераторная, 4, Киев
"
1.53,3,50.0,1,4,0,14000,"
ул. Феодосийская, 3в, Киев
"
1.12,3,50.0,1,4,0,12000,"
ул. Пчелки Елены, 6а, Киев
"
1.12,3,55.0,1,4,0,12000,"
ул. Пчелки Елены, 3а, Киев
"
