district,metro,area,rooms,floor,gk,price,adress
1.0,1.0,36.2,1,2.0,0,9200.0,"Кисловодская ул., 100, Деснянский р-н"
1.74,3.0,40.0,1,15.0,1,22000.0,"Салютная ул., 2, Шевченковский р-н"
1.19,3.0,48.0,2,4.0,0,8800.0,"Борщаговская ул., 141/138, Соломенский р-н"
1.29,1.0,32.0,1,7.0,0,7000.0,"Осиповского ул., 3а, Подольский р-н"
1.29,1.0,43.0,2,5.0,1,15000.0,"Правды просп., 43, Подольский р-н"
1.19,1.0,42.0,2,4.0,1,15000.0,"Березневая ул., 14 Б, Днепровский р-н"
1.19,1.0,35.0,1,5.0,0,12000.0,"Радужная ул., 58, Днепровский р-н"
1.74,3.0,76.0,2,9.0,1,20000.0,"Сикорского Игоря ул. (Танковая), 1, Шевченковский р-н"
1.29,1.0,43.0,1,20.0,1,12500.0,"Правды просп., 41е, Подольский р-н"
1.18,3.0,48.0,1,10.0,1,12500.0,"Приборный пер., 10, Святошинский р-н"
1.74,3.0,35.0,1,13.0,1,12000.0,"Победы просп., 67Е, Шевченковский р-н"
1.18,1.0,50.0,1,7.0,0,14000.0,"Стеценко ул., 75а, Святошинский р-н"
1.19,1.0,80.0,2,11.0,0,13750.0,"Верховного Совета бульв., 14, Днепровский р-н"
1.12,1.0,47.0,1,16.0,1,11500.0,"Пчелки Елены ул., 3, Дарницкий р-н"
1.22,1.0,39.0,1,21.0,1,14000.0,"Петра Калнышевского ул. (Майорова Михаила), 6, Оболонский р-н"
1.18,3.0,38.0,1,5.0,1,12000.0,"Петрицкого Анатолия ул., 13, Святошинский р-н"
1.18,1.0,47.0,1,4.0,0,11000.0,"Стеценко ул., 75, Святошинский р-н"
1.12,3.0,43.0,1,12.0,1,15000.0,"Ревуцкого ул., 40, Дарницкий р-н"
1.22,3.0,60.0,1,21.0,0,16500.0,"Героев Сталинграда просп., 53Б, Оболонский р-н"
1.18,1.0,37.0,1,11.0,1,9500.0,"Клавдиевская ул., 40г, Святошинский р-н"
1.53,3.0,74.0,2,9.0,1,15000.0,"Владимира Брожко ул. (Кировоградская), 70, Голосеевский р-н"
1.19,1.0,32.0,1,1.0,0,14000.0,"Яблоневая ул., 20, Соломенский р-н"
1.19,1.0,52.0,2,5.0,0,12000.0,"Семьи Идзыковских ул., 25, Соломенский р-н"
2.87,3.0,32.0,1,2.0,0,16000.0,"Василия Тютюнника ул. (Барбюса Анри), 11/2, Печерский р-н"
1.53,3.0,43.0,2,5.0,0,12000.0,"Голосеевский просп. (40-летия Октября), 96, Голосеевский р-н"
1.74,3.0,44.0,2,3.0,0,14000.0,"Победы просп., 20, Шевченковский р-н"
1.29,1.0,50.0,1,4.0,0,13750.0,"Александра Олеся, 6а, Подольский р-н"
1.74,3.0,88.0,2,15.0,0,24300.0,"Златоустовская ул., 47-49, Шевченковский р-н"
