district,metro,area,rooms,floor,gk,price,adress,lat_long,repair,metro_dist
1.12,3,85.0,2,4,1,15000,"
ул. Гмыри Бориса, 14а, Киев
","('50.3913937', '30.6297178')",0,1
1.53,3,29.0,1,4,0,13000,"
ул. Васильковская, 100а, Киев
","('50.382648', '30.4776283')",0,1
1.53,3,43.0,2,4,0,17400,"
ул. Васильковская, 100а, Киев
","('50.382648', '30.4776283')",0,1
1.22,1,56.0,2,4,1,22000,"
ул. Тимошенко Маршала, 21/19, Киев
","('50.5131233', '30.4945674')",0,1
1.53,3,43.0,2,4,0,17000,"
ул. Васильковская, 100а, Киев
","('50.382648', '30.4776283')",0,1
1.12,3,52.0,2,4,1,17500,"
ул. Заречная, 1г, Киев
","('50.3951196', '30.6025924')",0,1
1.53,3,43.0,2,4,0,17000,"
ул. Васильковская, 100а, Киев
","('50.382648', '30.4776283')",0,1
2.87,3,75.0,2,4,1,43900,"
ул. Джона Маккейна (Кудри Ивана), 7, Киев
","('50.4149353', '30.530897')",0,1
2.87,3,80.0,2,4,1,41200,"
ул. Саперное Поле, 5, Киев
","('50.4190988', '30.531137')",0,1
2.87,3,55.0,2,4,1,43900,"
ул. Саперное Поле, 3, Киев
","('50.4193434', '30.530259')",0,1
2.87,3,85.0,2,4,1,46700,"
ул. Болсуновская (Струтинского Сергея), 2, Киев
","('50.4213737', '30.5525158')",0,1
1.19,1,42.0,1,2,1,14000,"
Гавела Вацлава бульв. (Лепсе Ивана), 6в, Киев
","('50.4474224', '30.4213211')",0,1
1.19,1,45.0,2,2,1,16000,"
Гавела Вацлава бульв. (Лепсе Ивана), 6в, Киев
","('50.4474224', '30.4213211')",0,1
1.22,1,60.0,1,22,0,15500,"
Героев Сталинграда просп., 47а, Киев
","('50.5188602', '30.5129655')",0,1
1.18,1,48.0,1,3,1,10000,"
ул. Стеценко, 75к, Киев
","('50.4970045', '30.3690131')",0,1
1.74,1,75.0,2,10,1,26400,"
ул. Жилянская, 59, Киев
","('50.4377164', '30.4996085')",0,2
2.87,1,54.0,1,10,1,41200,"
ул. Джона Маккейна (Кудри Ивана), 1, Киев
","('50.4139129', '30.5264399')",0,1
1.22,1,160.0,4,11,0,29000,"
ул. Тимошенко Маршала, 21, Киев
","('50.5131233', '30.4945674')",0,1
1.53,1,60.0,2,5,0,22000,"
Жуковского Василия пер., 10, Киев
","('50.3924742', '30.4951065')",0,1
1.12,1,47.0,1,16,0,11500,"
ул. Пчелки Елены, 3, Киев
","('50.4158463', '30.6303141')",0,1
1.12,1,68.0,1,3,0,20000,"
ул. Центральная, 39, Киев
","('50.3359816', '30.626669')",0,1
1.53,1,42.0,1,14,0,10500,"
Глушкова Академика просп., 9д, Киев
","('50.3729225', '30.4676478')",0,1
1.74,3,88.0,4,5,0,24000,"
Тбилисский пер., 1, Киев
","('50.4535558', '30.4658858')",1,2
