district,metro,area,rooms,floor,gk,price,adress
1.19,1,97.0,2,18,1,43500,"
ул. Липкивского Василия (Урицкого), 16б, Киев
"
1.74,1,50.0,1,4,0,34000,"
ул. Сечевых Стрельцов (Артема), 44а, Киев
"
1.18,1,49.0,2,6,0,8500,"
ул. Зодчих, 62, Киев
"
1.22,1,40.0,1,4,1,10500,"
ул. Семьи Кульженко (Дегтяренко Петра), 35, Киев
"
1.74,3,73.0,3,6,0,12000,"
ул. Корчака Януша (Баумана), 20, Киев
"
1.18,1,65.0,2,1,0,12000,"
Святошинская пл., 1, Киев
"
2.87,3,59.0,2,6,0,14000,"
Дружбы Народов бульв., 8а, Киев
"
1.19,3,35.0,1,20,0,12200,"
ул. Лебедева Николая, 14, Киев
"
1.19,1,120.0,3,2,0,21700,"
Шамо Игоря бул. (Давыдова А. бул.), 12, Киев
"
1.53,3,62.0,3,5,0,15500,"
ул. Васильковская, 4, Киев
"
1.19,3,63.0,3,1,0,11500,"
ул. Русановская наб., 8/1, Киев
"
1.53,1,68.0,3,1,0,12000,"
ул. Лятошинского, 14а, Киев
"
1.74,3,120.0,3,21,0,26000,"
ул. Провиантская (Тимофеевой Гали), 3, Киев
"
1.74,1,36.0,1,5,0,10000,"
ул. Щербаковского Даниила (Щербакова), 32/38, Киев
"
1.74,3,47.0,2,3,0,12000,"
ул. Златоустовская, 51, Киев
"
1.74,3,75.0,2,17,0,20000,"
ул. Саксаганского, 121, Киев
"
1.12,3,35.0,1,5,0,16000,"
ул. Заречная, 4к2, Киев
"
2.87,3,54.0,2,4,0,12000,"
ул. Московская, 29, Киев
"
1.53,3,58.0,2,6,1,17000,"
ул. Голосеевская, 13б, Киев
"
2.87,3,52.0,2,2,0,12500,"
ул. Иоанна Павла II (Лумумбы Патриса), 13, Киев
"
1.74,3,46.0,2,3,0,23000,"
ул. Трехсвятительская, 3, Киев
"
1.53,3,54.0,1,13,1,13000,"
ул. Максимовича Михаила (Трутенко Онуфрия), 3д, Киев
"
1.29,1,65.0,2,4,0,17000,"
ул. Данченко Сергея, 15, Киев
"
1.74,3,130.0,4,4,0,81500,"
ул. Лысенко, 2а, Киев
"
1.74,3,50.0,2,1,0,13000,"
ул. Дегтяревская, 26б, Киев
"
1.19,1,110.0,3,20,1,21000,"
ул. Кудряшова, 20, Киев
"
1.19,1,32.0,1,10,1,10900,"
ул. Каховская (Никольская Слободка), 62а, Киев
"
2.87,3,209.0,4,4,0,43500,"
ул. Лескова, 1а, Киев
"
1.19,1,55.0,2,8,0,9000,"
ул. Нежинская, 7, Киев
"
1.18,3,82.0,3,9,0,14000,"
ул. Чернобыльская, 24/26, Киев
"
1.29,1,32.0,1,4,0,6500,"
ул. Краснопольская, 2б, Киев
"
1.18,1,22.0,1,1,0,8500,"
Роллана Ромена бульв., 14, Киев
"
2.87,1,62.0,2,5,0,24000,"
ул. Богомольца Академика, 1/10, Киев
"
1.18,1,52.0,2,5,0,8000,"
Королева просп., 12а, Киев
"
1.0,1,55.0,2,8,0,10000,"
ул. Братиславская, Киев
"
1.18,1,25.0,1,1,0,5500,"
ул. Кольцевая дорога, 70, Киев
"
2.87,1,56.0,2,9,0,32600,"
ул. Предславинская, 28а, Киев
"
1.53,1,70.0,2,7,0,12000,"
Моторный пер., 11, Киев
"
1.19,3,48.0,2,4,0,9000,"
ул. Русановская наб., 4/1, Киев
"
1.19,1,32.0,1,4,0,9000,"
Шамо Игоря бул. (Давыдова А. бул.), 7, Киев
"
1.74,3,30.0,1,1,0,19000,"
ул. Гоголевская, 11/39, Киев
"
1.19,1,60.0,1,4,0,10000,"
ул. Кадетский Гай, 6, Киев
"
1.53,3,36.0,1,5,0,9000,"
ул. Васильковская, 6, Киев
"
1.19,1,51.0,2,2,0,8000,"
Гашека Ярослава бульв., 8, Киев
"
1.19,1,30.0,1,3,0,6500,"
ул. Тампере, 4, Киев
"
1.22,3,36.0,1,4,0,7700,"
ул. Приозерная, Киев
"
1.53,3,46.0,1,4,0,18700,"
ул. Малевича Казимира (Боженко), 48, Киев
"
2.87,3,53.0,2,4,0,22400,"
ул. Московская, 39, Киев
"
1.74,3,64.0,2,4,0,15500,"
ул. Златоустовская, 48/5, Киев
"
2.87,3,175.0,3,4,0,54300,"
ул. Лескова, 1а, Киев
"
1.74,3,60.0,2,4,0,23700,"
ул. Десятинная, 1/3, Киев
"
1.19,1,82.0,3,4,1,21000,"
ул. Кудряшова, 20, Киев
"
1.74,3,70.0,3,4,0,17500,"
ул. Тургеневская, 16, Киев
"
1.19,1,150.0,4,15,0,35300,"
ул. Окипной Раиcы, 10в, Киев
"
1.12,1,30.0,1,8,0,11000,"
ул. Днепродзержинская, Киев
"
1.53,1,40.0,1,4,0,12600,"
Глушкова Академика просп., 30, Киев
"
2.87,3,58.0,1,18,0,24300,"
ул. Иоанна Павла II (Лумумбы Патриса), 11, Киев
"
1.19,1,42.0,1,4,0,8500,"
ул. Антонова Авиаконструктора, 47, Киев
"
1.19,1,42.0,2,4,0,8500,"
ул. Антонова Авиаконструктора, 47, Киев
"
1.18,3,82.0,2,4,1,19500,"
Победы просп., 109а, Киев
"
1.22,3,94.0,4,4,0,18000,"
Героев Сталинграда просп., 14б, Киев
"
1.53,3,120.0,3,4,1,25000,"
ул. Голосеевская, 13, Киев
"
1.19,1,46.0,1,9,1,12000,"
Комарова Космонавта просп., 26, Киев
"
1.29,3,81.0,2,4,0,48900,"
ул. Спасская, 25, Киев
"
1.29,3,103.0,3,4,1,67900,"
ул. Спасская, 35, Киев
"
1.74,3,140.0,4,4,0,81200,"
ул. Гончара Олеся, 47б, Киев
"
2.87,1,120.0,3,5,1,94800,"
ул. Драгомирова Михаила, 20, Киев
"
